lon 	lat	M_I	Depth(a	year	month	day	hour	minute
-78.33	0.05	6.4	10	1587	8	31	01	30 
-78.8 	-1.73 	7.0 	10 	1645 	3 	15 	x 	x 
-79.05 	-1.67  	6.4 	10  	1674 	8 	29 	x 	x
-78.42 	-1.25  	6.2 	10 	1687 	11 	22 	x 	x
-78.8 	-1.65 	7.25 	10 	1698 	6 	20 	06 	00
-78.75 	-0.75  	5.9 	10 	1736 	12 	6 	08 	00
-78.56 	-0.92 	6.1 	10 	1757 	2 	22 	x 	x
-78.78	-1.68	5.8	10 	1786 	5 	10 	15 	00
-78.6	-1.5 	7.6 	10 	1797 	2 	4 	12 	45
-77.00	1.12	7.4	10	1834	1	20	01	45 
-78.75	0.02	7.2	10	1859	3	22	13	30
-78.42	-1.25	6.1	10	1868	5	17	18	00
-77.92	0.7	6.6	10	1868	8	15	19	30
-78.3	0.25	7.25	10	1868	8	16	06	40
-78.8	-1.73	6.2	10	1911	9	23	04	10
-78.42	-0.6	6.44 	10	1914	5	31	13	27
-78.63	-0.55	6.1	10	1923	2	5	12	22
-77.8	0.88	6.1	10	1923	12	14	10	31
-77.78	0.87	6.0	10	1926	12	18	18	05
-78.48	-0.5	5.88	10	1929	7	25	08	39
-78.41	-0.4	5.8	10	1938	8	10	02	02
-78.7	-0.71	5.7	10	1944	9	15	19	20
-77.36	1.05	6.0	10	1953	12	23	04	45
-78.39	0.28	6.14	10	1955	7	20	21	00
-78.59	-0.98	5.0	10	1958	1	24	13	50
-78.7	-1.20	5.65	10	1960	7	30	02	04
-78.968	-2.089 	6.3	10	1961	4	8	09	03
-78.65	-1.16	5.9	10	1962	11	16	06	39
-78.61	-0.52	5.0	10	1976	11	29	23	20
